Label,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
43990,20,Private,97212,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,less
8599,20,Private,137895,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,less
27992,20,Private,250165,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,less
421,20,Private,61777,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,less
8987,20,Private,50397,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,35,United-States,less
41404,20,Private,194228,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,less
5747,20,Private,203240,9th,5,Never-married,Sales,Own-child,White,Female,0,0,32,United-States,less
5946,20,Private,116375,9th,5,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,less
23439,20,Private,236592,11th,7,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,less
47350,20,Private,374116,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,less
3682,20,Private,291979,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
3931,20,Private,400443,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
4539,20,Private,70240,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,Philippines,less
7449,20,Private,432154,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,8,Mexico,less
11001,20,Private,216825,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,25,Mexico,less
13231,20,Private,691830,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,35,United-States,less
13716,20,Private,314422,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
15011,20,Private,195411,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,less
15862,20,Private,176178,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,less
16900,20,Private,344492,HS-grad,9,Separated,Sales,Own-child,White,Female,0,0,26,United-States,less
17887,20,Private,213719,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,less
19103,20,Private,100605,HS-grad,9,Never-married,Sales,Own-child,Other,Male,0,0,40,Puerto-Rico,less
22360,20,Private,470875,HS-grad,9,Married-civ-spouse,Sales,Own-child,Black,Male,0,0,32,United-States,less
25491,20,Private,225811,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,23,United-States,less
30299,20,Private,82777,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,40,United-States,less
36186,20,Private,55465,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
37373,20,Private,289982,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,10,El-Salvador,less
38081,20,Private,166302,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
41055,20,Private,95552,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
42654,20,Private,376416,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
44488,20,Private,162151,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,less
46063,20,Private,253612,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
46255,20,Self-emp-not-inc,428299,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
46808,20,Private,34616,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,less
47983,20,Private,138994,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,Vietnam,less
15804,20,Private,151105,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,less
25880,20,Private,30035,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,less
42853,20,Private,196758,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
32,20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,less
139,20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,less
1674,20,Private,180052,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,less
3075,20,Private,337639,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
5513,20,Private,271379,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,less
6089,20,Private,105312,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,less
6322,20,Private,116666,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,8,India,less
6523,20,Private,505980,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
6631,20,Private,227554,Some-college,10,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,18,United-States,less
7154,20,Private,197496,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,less
7189,20,Private,212668,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
7957,20,Private,182661,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,20,United-States,less
8892,20,Private,167787,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
9531,20,Private,205895,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
10170,20,Private,234880,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
10420,20,Private,234474,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,less
11348,20,Private,105585,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,less
12657,20,Private,299399,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
13547,20,Private,304710,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,less
14846,20,Private,60639,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,28,United-States,less
15049,20,Private,216811,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,less
15981,20,Private,91733,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,less
16382,20,Private,219835,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,less
18749,20,Private,219262,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
18946,20,Private,201799,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,13,United-States,less
19518,20,Private,259496,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,less
19539,20,Private,298635,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,30,Philippines,less
20093,20,Private,382153,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,less
20113,20,Private,110597,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
20728,20,Private,211293,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,14,United-States,less
21287,20,Private,256504,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,6,United-States,less
23585,20,Private,216472,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,less
24117,20,Private,161708,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,less
25165,20,Private,47541,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,less
25904,20,Private,82777,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,16,United-States,less
28912,20,Private,218215,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,less
29052,20,Private,122971,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,less
29153,20,Private,289405,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1602,15,United-States,less
33709,20,Private,316702,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
33762,20,Private,408988,Some-college,10,Never-married,Sales,Own-child,White,Female,594,0,24,United-States,less
34209,20,Private,175069,Some-college,10,Never-married,Sales,Own-child,White,Male,1055,0,30,United-States,less
34624,20,Private,236804,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,less
36780,20,Private,187592,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,less
